MakeID,MakeName
1,Suzuki
2,Porsche
3,Hyundai
4,Austin
5,Avanti
6,Citroen
7,Fiat
8,Lancia
9,Jensen
10,Rover
11,Land Rover
12,Morgan
13,Subaru
14,Triumph
15,Yugo
16,Alfa Romeo
17,Checker
18,Daewoo
19,Daihatsu
20,Jaguar
21,Kia
22,Opel
23,Renault
24,Excalibur
25,Laforza
27,Volvo
28,Peugeot
29,Saleen
30,Shelby
31,BMW
32,Mini
33,Bertone
34,Qvale
35,DeLorean
36,Panoz
37,Isuzu
38,Lamborghini
39,Chrysler
40,Dodge
41,Eagle
42,Jeep
43,Plymouth
44,AM General
45,Buick
46,Cadillac
47,Chevrolet
48,GMC
50,Geo
51,Oldsmobile
52,Pontiac
53,Saturn
54,Ford
55,Lincoln
56,Mercury
57,Merkur
58,Acura
59,Honda
60,Sterling
61,DeTomaso
62,Maybach
63,Mercedes-Benz
64,MG
65,Saab
66,American Motors
67,Nissan
68,Infiniti
69,Bentley
70,Rolls-Royce
71,International
72,Mitsubishi
73,Audi
74,Volkswagen
75,Lexus
76,Toyota
77,Aston Martin
78,Ferrari
79,Maserati
80,Mazda
84,Lotus
86,Morris
87,Studebaker
88,Sunbeam
89,Asuna
90,Lada
91,Scion
93,Hummer
94,Bricklin
95,Bugatti
438,Simca
439,Vauxhall
440,Talbot-Lago
441,Stanguellini
442,Packard
443,Nash
444,Lagonda
445,Kaiser
446,Hudson
447,Hillman
448,Frazer Nash
449,Frazer
450,DeSoto
451,Delahaye
452,Delage
453,Crosley
454,Cisitalia
455,Borgward
456,Allard
457,AC
458,Tucker
459,Willys
460,Hupmobile
461,Graham
462,American Bantam
463,LaSalle
464,Hispano-Suiza
465,Pierce-Arrow
466,Duesenberg
467,Cord
468,Reo
469,Auburn
470,Stutz
471,American Austin
472,Marmon
473,Isotta Fraschini
474,Franklin
475,Oakland
476,Locomobile
477,Gardner
478,Essex
479,Stevens-Duryea
480,Graham-Paige
481,Jeffery
482,Rambler
483,Duryea
484,Smart
485,Toyopet
486,Alpine
487,Daimler
488,Healey
489,NSU
490,TVR
491,Cunningham
492,Darrin
493,Griffith
494,Kurtis
495,Facel Vega
497,Freightliner
501,Alvis
502,Armstrong-Siddeley
503,Bristol
504,Goliath
505,HRG
506,Hotchkiss
507,Humber
508,Jowett
509,Lanchester
510,Lea-Francis
511,Moretti
512,Riley
513,Siata
514,Singer
515,Skoda
516,Standard
517,Tatra
518,Wolseley
519,Pegaso
520,Salmson
521,Reliant
522,Bond
523,Marathon
524,Arnolt-Bristol
525,DKW
526,Dellow
527,Metropolitan
528,Panhard
529,Swallow
530,Goggomobil
531,Maico
532,Messerschmitt
533,Berkeley
534,Dual-Ghia
535,Lloyd
536,Moskvich
537,Wartburg
538,Zundapp
539,Denzel
540,Deutsch-Bonnet
541,Fairthorpe
542,Abarth
543,Elva
544,Nardi
545,Peerless
546,Vespa
547,DAF
548,Sabra
549,Turner
550,Amphicar
551,Hansa
552,Osca
553,Glas
554,Iso
555,Bizzarrini
556,Matra
557,Monteverdi
558,Marcos
562,Edsel
563,Apperson
564,Biddle
565,Blackhawk
566,Case
567,Chandler
568,Cleveland
569,Cole
570,Continental
571,Davis
572,De Vaux
573,Diana
574,Du Pont
575,Durant
576,Elcar
577,Erskine
578,FWD
579,Falcon Knight
580,Flint
581,HCS
582,Haynes
583,Hertz
584,Jewett
585,Jordan
586,Kissel
587,Lexington
588,Marquette
589,Maxwell
590,Moon
591,Paige
593,Rickenbacker
594,Roamer
595,Rockne
596,Rollin
597,Roosevelt
598,Scripps Booth
599,Sheridan
600,Star
601,Stearns Knight
602,Velie
603,Viking
604,Westcott
605,Whippet
606,Windsor
607,Yellow Cab
608,Workhorse
609,Allstate
610,Henry J
612,FAW
613,Foton
614,Giant Motors
615,Seat
616,SsangYong
1164,Tesla
1168,Ram
1211,Apollo
1212,Arnolt-MG
1213,Doretti
1214,Fargo
1215,Gordon-Keeble
1216,Marauder
1217,Omega
1218,Panther
1223,Austin Healey
1225,Coda
1227,VPG
1228,McLaren
1230,SRT
1241,Mastretta
1243,Fisker
1248,VAM
1313,Think
1314,Mobility Ventures
1318,BAIC
1319,Genesis
1324,Datsun
1326,JAC
1328,Utilimaster
1334,Zacua
1337,Karma
1341,Spyker
1343,UAZ